"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "XML", "comment", "blank", "total"
"d:\20200118_DATN_2023.2\it4um-frontend\src\App.css", "CSS", 75, 0, 0, 0, 0, 17, 92
"d:\20200118_DATN_2023.2\it4um-frontend\src\App.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 3, 18
"d:\20200118_DATN_2023.2\it4um-frontend\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\InputBox.jsx", "JavaScript JSX", 0, 0, 43, 0, 0, 2, 45
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 122, 0, 2, 15, 139
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\SideBar.jsx", "JavaScript JSX", 0, 0, 59, 0, 0, 3, 62
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\TextEditor.jsx", "JavaScript JSX", 0, 0, 78, 0, 0, 9, 87
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\UserAuthForm.jsx", "JavaScript JSX", 0, 0, 263, 0, 0, 14, 277
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\UserNav.jsx", "JavaScript JSX", 0, 0, 39, 0, 0, 5, 44
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\comment\CommentItem.jsx", "JavaScript JSX", 0, 0, 94, 0, 0, 6, 100
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\comment\CommentPool.jsx", "JavaScript JSX", 0, 0, 112, 0, 0, 10, 122
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\post\MultiSelectChip.jsx", "JavaScript JSX", 0, 0, 83, 0, 0, 8, 91
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\post\PostItem.jsx", "JavaScript JSX", 0, 0, 67, 0, 0, 4, 71
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\post\PreviewPost.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 3, 23
"d:\20200118_DATN_2023.2\it4um-frontend\src\config\axios.js", "JavaScript", 0, 25, 0, 0, 0, 5, 30
"d:\20200118_DATN_2023.2\it4um-frontend\src\config\firebase.js", "JavaScript", 0, 14, 0, 0, 0, 4, 18
"d:\20200118_DATN_2023.2\it4um-frontend\src\index.css", "CSS", 20, 0, 0, 0, 0, 6, 26
"d:\20200118_DATN_2023.2\it4um-frontend\src\layout\DashboardLayout.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 3, 15
"d:\20200118_DATN_2023.2\it4um-frontend\src\main.jsx", "JavaScript JSX", 0, 0, 98, 0, 0, 3, 101
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Dashboard\ChangePassword.jsx", "JavaScript JSX", 0, 0, 167, 0, 5, 12, 184
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Dashboard\Notification.jsx", "JavaScript JSX", 0, 0, 125, 0, 0, 10, 135
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Dashboard\PostCentral.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 3, 11
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Dashboard\Profile.jsx", "JavaScript JSX", 0, 0, 238, 0, 4, 19, 261
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Guide.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 3, 8
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 164, 0, 2, 17, 183
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 3, 18
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\LoginPageAdmin.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 3, 18
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\NewPost.jsx", "JavaScript JSX", 0, 0, 142, 0, 3, 14, 159
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\PostDetail.jsx", "JavaScript JSX", 0, 0, 219, 0, 0, 14, 233
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\SignupPage.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 3, 18
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\UserProfile.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 3, 11
"d:\20200118_DATN_2023.2\it4um-frontend\src\redux\actions\authActions.js", "JavaScript", 0, 18, 0, 0, 0, 5, 23
"d:\20200118_DATN_2023.2\it4um-frontend\src\redux\reducers\adminReducer.js", "JavaScript", 0, 19, 0, 0, 0, 3, 22
"d:\20200118_DATN_2023.2\it4um-frontend\src\redux\reducers\index.js", "JavaScript", 0, 8, 0, 0, 0, 2, 10
"d:\20200118_DATN_2023.2\it4um-frontend\src\redux\reducers\userReducer.js", "JavaScript", 0, 26, 0, 0, 0, 3, 29
"d:\20200118_DATN_2023.2\it4um-frontend\src\redux\store.js", "JavaScript", 0, 15, 0, 0, 4, 6, 25
"Total", "-", 95, 125, 2226, 1, 20, 243, 2710
