"filename", "language", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\AdminNav.jsx", "JavaScript JSX", 42, 0, 0, 5, 47
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\AdminSideBar.jsx", "JavaScript JSX", 36, 0, 0, 3, 39
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\Navbar.jsx", "JavaScript JSX", 21, 0, 0, 0, 21
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\UserAuthForm.jsx", "JavaScript JSX", 23, 0, 0, 1, 24
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\UserNav.jsx", "JavaScript JSX", 3, 0, 0, 0, 3
"d:\20200118_DATN_2023.2\it4um-frontend\src\config\axios.js", "JavaScript", 0, 9, 0, 1, 10
"d:\20200118_DATN_2023.2\it4um-frontend\src\layout\AdminLayout.jsx", "JavaScript JSX", 20, 0, 0, 3, 23
"d:\20200118_DATN_2023.2\it4um-frontend\src\layout\DashboardLayout.jsx", "JavaScript JSX", 8, 0, 0, 1, 9
"d:\20200118_DATN_2023.2\it4um-frontend\src\main.jsx", "JavaScript JSX", 17, 0, 0, 0, 17
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\AdminDashboard\PostStatistic.jsx", "JavaScript JSX", 216, 0, 1, 18, 235
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\AdminDashboard\TagCentral.jsx", "JavaScript JSX", 56, 0, 0, 7, 63
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Dashboard\EditPostModal.jsx", "JavaScript JSX", 134, 0, 0, 8, 142
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Dashboard\PostCentral.jsx", "JavaScript JSX", 232, 0, 0, 13, 245
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Home.jsx", "JavaScript JSX", 1, 0, 0, 0, 1
"d:\20200118_DATN_2023.2\it4um-frontend\src\redux\reducers\adminReducer.js", "JavaScript", 0, 1, 0, 0, 1
"Total", "-", 809, 10, 1, 60, 880
