"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\UserAuthForm.jsx", "JavaScript JSX", 0, 9, 0, 0, 9
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\comment\CommentItem.jsx", "JavaScript JSX", 0, 6, 0, 0, 6
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\comment\CommentPool.jsx", "JavaScript JSX", 0, 6, 0, 0, 6
"d:\20200118_DATN_2023.2\it4um-frontend\src\main.jsx", "JavaScript JSX", 0, 5, 0, 0, 5
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\AdminDashboard\PostStatistic.jsx", "JavaScript JSX", 0, 5, 0, 0, 5
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Dashboard\PostCentral.jsx", "JavaScript JSX", 0, 3, 0, 0, 3
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Dashboard\Profile.jsx", "JavaScript JSX", 0, 1, 0, 0, 1
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\ForgotPassword.jsx", "JavaScript JSX", 0, 167, 0, 13, 180
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Guide.jsx", "JavaScript JSX", 0, 160, 0, 0, 160
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Home.jsx", "JavaScript JSX", 0, 2, 0, -1, 1
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\PostDetail.jsx", "JavaScript JSX", 0, -10, 0, 0, -10
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\UserProfile.jsx", "JavaScript JSX", 0, 111, 0, 6, 117
"d:\20200118_DATN_2023.2\it4um-frontend\src\redux\store.js", "JavaScript", 7, 0, 0, 0, 7
"Total", "-", 7, 465, 0, 18, 490
