"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"d:\20200118_DATN_2023.2\it4um-frontend\src\App.css", "CSS", 0, 0, 75, 0, 0, 17, 92
"d:\20200118_DATN_2023.2\it4um-frontend\src\App.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 3, 18
"d:\20200118_DATN_2023.2\it4um-frontend\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\AdminNav.jsx", "JavaScript JSX", 0, 42, 0, 0, 0, 5, 47
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\AdminSideBar.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 3, 39
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\InputBox.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 2, 45
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\Navbar.jsx", "JavaScript JSX", 0, 143, 0, 0, 2, 15, 160
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\SideBar.jsx", "JavaScript JSX", 0, 59, 0, 0, 0, 3, 62
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\TextEditor.jsx", "JavaScript JSX", 0, 78, 0, 0, 0, 9, 87
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\UserAuthForm.jsx", "JavaScript JSX", 0, 295, 0, 0, 0, 15, 310
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\UserNav.jsx", "JavaScript JSX", 0, 42, 0, 0, 0, 5, 47
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\comment\CommentItem.jsx", "JavaScript JSX", 0, 100, 0, 0, 0, 6, 106
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\comment\CommentPool.jsx", "JavaScript JSX", 0, 118, 0, 0, 0, 10, 128
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\post\MultiSelectChip.jsx", "JavaScript JSX", 0, 83, 0, 0, 0, 8, 91
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\post\PostItem.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 4, 71
"d:\20200118_DATN_2023.2\it4um-frontend\src\components\post\PreviewPost.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 3, 23
"d:\20200118_DATN_2023.2\it4um-frontend\src\config\axios.js", "JavaScript", 34, 0, 0, 0, 0, 6, 40
"d:\20200118_DATN_2023.2\it4um-frontend\src\config\firebase.js", "JavaScript", 14, 0, 0, 0, 0, 4, 18
"d:\20200118_DATN_2023.2\it4um-frontend\src\index.css", "CSS", 0, 0, 20, 0, 0, 6, 26
"d:\20200118_DATN_2023.2\it4um-frontend\src\layout\AdminLayout.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 3, 23
"d:\20200118_DATN_2023.2\it4um-frontend\src\layout\DashboardLayout.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 4, 24
"d:\20200118_DATN_2023.2\it4um-frontend\src\main.jsx", "JavaScript JSX", 0, 120, 0, 0, 0, 3, 123
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\AdminDashboard\PostStatistic.jsx", "JavaScript JSX", 0, 221, 0, 0, 1, 18, 240
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\AdminDashboard\TagCentral.jsx", "JavaScript JSX", 0, 56, 0, 0, 0, 7, 63
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Dashboard\ChangePassword.jsx", "JavaScript JSX", 0, 167, 0, 0, 5, 12, 184
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Dashboard\EditPostModal.jsx", "JavaScript JSX", 0, 134, 0, 0, 0, 8, 142
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Dashboard\Notification.jsx", "JavaScript JSX", 0, 125, 0, 0, 0, 10, 135
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Dashboard\PostCentral.jsx", "JavaScript JSX", 0, 243, 0, 0, 0, 16, 259
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Dashboard\Profile.jsx", "JavaScript JSX", 0, 239, 0, 0, 4, 19, 262
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\ForgotPassword.jsx", "JavaScript JSX", 0, 167, 0, 0, 0, 13, 180
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Guide.jsx", "JavaScript JSX", 0, 165, 0, 0, 0, 3, 168
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\Home.jsx", "JavaScript JSX", 0, 167, 0, 0, 2, 16, 185
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 3, 18
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\LoginPageAdmin.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 3, 18
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\NewPost.jsx", "JavaScript JSX", 0, 142, 0, 0, 3, 14, 159
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\PostDetail.jsx", "JavaScript JSX", 0, 209, 0, 0, 0, 14, 223
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\SignupPage.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 3, 18
"d:\20200118_DATN_2023.2\it4um-frontend\src\pages\UserProfile.jsx", "JavaScript JSX", 0, 119, 0, 0, 0, 9, 128
"d:\20200118_DATN_2023.2\it4um-frontend\src\redux\actions\authActions.js", "JavaScript", 18, 0, 0, 0, 0, 5, 23
"d:\20200118_DATN_2023.2\it4um-frontend\src\redux\reducers\adminReducer.js", "JavaScript", 20, 0, 0, 0, 0, 3, 23
"d:\20200118_DATN_2023.2\it4um-frontend\src\redux\reducers\index.js", "JavaScript", 8, 0, 0, 0, 0, 2, 10
"d:\20200118_DATN_2023.2\it4um-frontend\src\redux\reducers\userReducer.js", "JavaScript", 26, 0, 0, 0, 0, 3, 29
"d:\20200118_DATN_2023.2\it4um-frontend\src\redux\store.js", "JavaScript", 22, 0, 0, 0, 4, 6, 32
"Total", "-", 142, 3500, 95, 1, 21, 321, 4080
